City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
420,keuruu,62.2667,24.7,32.18,86,100,5.73,FI,1679254578
421,agadez,19.75,10.25,80.2,7,0,11.97,NE,1679254579
422,marsh harbour,26.5412,-77.0636,76.26,75,93,6.31,BS,1679254566
423,lebowakgomo,-24.2,29.5,64.85,53,0,6.82,ZA,1679254580
424,traralgon,-38.1833,146.5333,53.85,88,97,2.75,AU,1679254581
425,makinsk,52.6292,70.4169,-0.06,91,9,2.13,KZ,1679254582
426,wladyslawowo,54.7909,18.4009,52.48,91,100,6.62,PL,1679254582
427,ossora,59.2353,163.0719,-0.09,93,60,3.96,RU,1679254583
428,rochegda,62.8,43.25,27.23,97,99,5.53,RU,1679254584
429,woodward,36.4337,-99.3904,52.83,24,0,17.27,US,1679254585
430,safaga,26.7292,33.9365,68.76,37,0,10.8,EG,1679254586
431,sorong,-0.8833,131.25,79.36,82,100,1.59,ID,1679254586
432,port lavaca,28.615,-96.6261,59.31,47,0,6.91,US,1679254587
433,emba,48.8264,58.1442,28.36,72,36,15.12,KZ,1679254588
434,raga,8.4596,25.678,78.31,57,100,9.42,SS,1679254588
435,sakaiminato,35.55,133.2333,37.38,100,20,4.61,JP,1679254589
436,spokane,47.6166,-117.3677,53.06,41,0,13.8,US,1679254324
437,mahebourg,-20.4081,57.7,78.26,94,40,3.44,MU,1679254591
438,hambantota,6.1241,81.1185,78.1,83,5,3.83,LK,1679254592
439,ketchikan,55.3422,-131.6461,44.58,87,100,5.75,US,1679254393
440,linqiong,30.4159,103.4609,55.22,93,100,3.49,CN,1679254593
441,dajal,29.5577,70.3762,66.33,61,0,8.23,PK,1679254594
442,the valley,18.217,-63.0578,81.82,69,75,17.27,AI,1679254567
443,kjollefjord,70.9457,27.3465,32.05,86,75,16.11,NO,1679254595
444,cururupu,-1.8283,-44.8683,78.19,93,98,2.06,BR,1679254364
445,guarizama,14.9167,-86.3333,84.96,39,64,4.29,HN,1679254596
446,boa vista,2.8197,-60.6733,91.38,40,75,10.36,BR,1679254597
447,ban dung,17.699,103.2596,80.01,99,100,5.66,TH,1679254598
448,andreapol,56.6513,32.2664,26.98,95,76,5.95,RU,1679254598
449,auki,-8.7676,160.7034,77.02,88,39,3.47,SB,1679254599
450,alice springs,-23.7,133.8833,69.35,64,11,0.0,AU,1679254600
451,verkh-usugli,52.7,115.1667,20.12,94,100,3.31,RU,1679254602
452,coquimbo,-29.9533,-71.3436,67.73,82,75,16.11,CL,1679254603
453,mnogovershinnyy,53.9353,139.9242,20.32,80,86,10.47,RU,1679254603
454,mocuba,-16.8392,36.9856,71.64,97,98,3.09,MZ,1679254604
455,mandalgarh,25.2,75.1,69.1,56,100,4.09,IN,1679254605
456,kasongo,-4.45,26.6667,68.92,92,96,2.37,CD,1679254550
457,chongqing,29.5628,106.5528,60.22,75,100,13.42,CN,1679254606
458,san quintin,30.4833,-115.95,66.54,48,100,10.31,MX,1679254607
459,faya,18.3851,42.4509,57.31,41,62,3.98,SA,1679254607
460,lehigh acres,26.6254,-81.6248,66.97,64,0,12.66,US,1679254608
461,petropavlovsk-kamchatskiy,53.0452,158.6483,14.59,73,75,4.47,RU,1679254609
462,harper,4.375,-7.7169,80.22,80,54,8.37,LR,1679254609
463,ericeira,38.9627,-9.4156,60.96,85,8,10.25,PT,1679254555
464,lugovoy,42.9472,72.7644,38.28,57,24,2.82,KZ,1679254610
465,kyren,51.6828,102.1408,22.73,73,10,1.74,RU,1679254611
466,cartagena,10.3997,-75.5144,87.42,66,40,9.22,CO,1679254318
467,husavik,66.0449,-17.3389,13.57,71,100,1.03,IS,1679254612
468,sumenep,-7.0167,113.8667,78.89,84,100,3.42,ID,1679254613
469,kokoda,-8.8785,147.7407,73.9,95,89,0.43,PG,1679254613
470,deputatskiy,69.3,139.9,-20.94,94,100,5.86,RU,1679254614
471,cabedelo,-6.9811,-34.8339,86.67,77,100,8.03,BR,1679254614
472,albanel,48.8832,-72.4487,24.94,68,100,18.41,CA,1679254615
473,paamiut,61.994,-49.6678,29.48,74,100,5.12,GL,1679254615
474,gvarv,59.3875,9.1737,43.07,100,100,0.85,NO,1679254616
475,ibra,22.6906,58.5334,75.45,36,81,3.49,OM,1679254617
476,poladpur,17.9802,73.466,72.16,77,0,1.28,IN,1679254617
477,lawigan,10.487,122.0354,75.58,85,83,11.41,PH,1679254618
478,dudinka,69.4058,86.1778,-7.24,97,100,17.18,RU,1679254619
479,calabozo,8.9242,-67.4293,95.92,19,86,8.32,VE,1679254619
480,torrington,41.8007,-73.1212,37.94,45,100,14.0,US,1679254620
481,kirensk,57.7853,108.1119,33.57,94,100,9.95,RU,1679254621
482,hirara,24.8,125.2833,71.46,83,75,17.27,JP,1679254622
483,isangel,-19.55,169.2667,78.21,84,96,16.04,VU,1679254624
484,hailar,49.2,119.7,11.25,89,36,5.48,CN,1679254625
485,nokaneng,-19.6667,22.2667,77.29,32,27,6.44,BW,1679254625
486,leningradskiy,69.3833,178.4167,17.06,84,100,0.83,RU,1679254626
487,warrnambool,-38.3833,142.4833,50.32,68,67,14.92,AU,1679254627
488,dhanera,24.5167,72.0167,71.19,57,99,6.44,IN,1679254627
489,los palacios,22.5872,-83.2486,82.44,61,98,4.61,CU,1679254628
490,shingu,33.7333,135.9833,46.62,76,100,4.94,JP,1679254629
491,krasnokamensk,50.0979,118.0369,15.64,88,93,2.15,RU,1679254630
492,veinticinco de mayo,-35.4323,-60.1727,92.35,37,23,8.84,AR,1679254630
493,lola,7.8,-8.5333,73.53,80,99,2.8,GN,1679254631
494,encarnacion,-27.3333,-55.9,97.52,54,75,4.61,PY,1679254632
495,chicama,-7.8447,-79.1469,84.74,64,55,9.6,PE,1679254632
496,tsuyama,35.05,134.0,40.28,78,19,1.43,JP,1679254633
497,mountain home,43.133,-115.6912,52.14,33,20,26.46,US,1679254634
498,olhao,37.0286,-7.8411,63.28,64,0,8.05,PT,1679254635
499,sokoni,-6.4333,39.55,76.86,75,100,9.6,TZ,1679254635
500,alekseyevsk,57.8406,108.3492,33.89,93,100,10.38,RU,1679254636
501,san carlos de bariloche,-41.1456,-71.3082,67.75,19,0,14.97,AR,1679254637
502,tangua,-22.7303,-42.7142,80.91,81,64,3.69,BR,1679254638
503,marathon,44.9,-89.7668,33.04,32,0,16.11,US,1679254639
504,bouna,9.2667,-3.0,87.49,27,98,4.21,CI,1679254640
505,tongren,27.7172,109.1853,46.74,95,100,1.92,CN,1679254640
506,kathmandu,27.7167,85.3167,53.83,92,75,3.44,NP,1679254641
507,vila franca do campo,37.7167,-25.4333,61.21,88,31,12.62,PT,1679254642
508,perth,-31.9333,115.8333,77.18,36,24,12.66,AU,1679254643
509,gravdal,68.1214,13.5031,30.45,76,100,3.24,NO,1679254644
510,altay,47.8667,88.1167,23.76,96,100,3.65,CN,1679254645
511,mount gambier,-37.8333,140.7667,53.49,66,44,11.74,AU,1679254645
512,qaqortoq,60.7167,-46.0333,31.86,71,100,7.85,GL,1679254646
513,boende,-0.2167,20.8667,69.01,97,64,1.3,CD,1679254647
514,lac du bonnet,50.2536,-96.0612,28.38,75,93,9.8,CA,1679254648
515,saint-michel-des-saints,46.6834,-73.9159,17.67,83,100,13.11,CA,1679254649
516,berlevag,70.8578,29.0864,30.2,74,75,25.32,NO,1679254649
517,sistranda,63.7256,8.834,37.36,75,100,17.69,NO,1679254650
518,yurginskoye,56.8189,67.3921,18.81,90,100,7.78,RU,1679254651
519,port saint john,28.477,-80.7887,62.96,63,100,13.0,US,1679254651
520,araouane,18.9048,-3.5265,82.18,12,0,11.16,ML,1679254652
521,herat,34.5,62.0,54.86,61,0,9.13,AF,1679254653
522,batemans bay,-35.7167,150.1833,66.09,89,100,11.03,AU,1679254654
523,port-cartier,50.0334,-66.8654,34.02,66,97,14.41,CA,1679254654
524,kenai,60.5544,-151.2583,33.85,64,75,8.05,US,1679254655
525,middelburg,-25.7751,29.4648,64.62,59,42,5.77,ZA,1679254656
526,high level,58.5169,-117.136,32.11,64,0,4.61,CA,1679254510
527,bad mergentheim,49.4925,9.7736,52.18,81,75,3.44,DE,1679254657
528,koumac,-20.5667,164.2833,76.46,80,1,7.2,NC,1679254658
529,apahida,46.8167,23.75,41.14,75,0,3.44,RO,1679254658
530,fonte boa,-2.4959,-66.2662,91.13,51,66,2.57,BR,1679254659
531,mandalgovi,45.7625,106.2708,28.4,42,3,8.05,MN,1679254660
532,kuntaur,13.6667,-14.8833,93.52,11,21,3.51,GM,1679254661
533,slavgorod,52.9978,78.6449,6.06,94,6,5.95,RU,1679254662
534,vostok,46.4856,135.8833,19.17,91,12,6.22,RU,1679254662
535,utete,-7.986,38.758,73.24,95,99,2.04,TZ,1679254663
536,tiznit,29.5833,-9.5,63.21,55,0,2.48,MA,1679254413
537,verkhnetulomskiy,68.6073,31.7962,15.93,98,99,3.38,RU,1679254664
538,chapais,49.7834,-74.8492,19.18,71,100,12.97,CA,1679254665
539,anderson,34.5334,-82.6499,53.17,28,0,6.91,US,1679254431
540,gat,31.61,34.7642,56.08,100,34,16.2,IL,1679254505
541,touros,-5.1989,-35.4608,74.89,87,100,6.49,BR,1679254667
542,avera,33.194,-82.5271,53.55,27,88,11.36,US,1679254668
543,hukuntsi,-24.0,21.75,78.84,23,9,14.23,BW,1679254668
544,embonas,36.2269,27.8564,53.73,68,8,18.7,GR,1679254669
545,den helder,52.9599,4.7593,46.02,93,75,7.0,NL,1679254670
546,wawa,9.9022,4.4192,88.36,42,100,6.22,NG,1679254670
547,ivanovka,42.8878,75.085,43.41,40,52,0.65,KG,1679254671
548,carmen,18.6333,-91.8333,71.64,100,100,6.91,MX,1679254672
549,miri,4.4148,114.0089,75.34,94,40,3.44,MY,1679254672
550,bystryy istok,52.371,84.3873,15.84,87,100,9.82,RU,1679254673
551,havelock,34.8791,-76.9013,57.94,36,7,1.99,US,1679254673
552,qui nhon,13.7667,109.2333,71.53,90,96,4.74,VN,1679254674
553,bilibino,68.0546,166.4372,-12.89,99,89,3.96,RU,1679254674
554,port shepstone,-30.7414,30.455,74.43,88,57,2.46,ZA,1679254485
555,kalaleh,37.3807,55.4916,55.76,60,100,3.0,IR,1679254675
556,cerchezu,43.8167,28.1,41.34,90,76,5.17,RO,1679254676
557,ust-tsilma,65.441,52.1498,31.64,92,100,14.27,RU,1679254676
558,butajira,8.1167,38.3667,58.12,87,100,1.34,ET,1679254677
559,jieshi,22.8134,115.8257,67.23,86,96,9.51,CN,1679254678
560,talaya,61.3833,152.75,-8.81,100,100,2.84,RU,1679254678
561,labuhan,-6.8844,112.2051,77.99,86,100,5.12,ID,1679254679
562,tigzirt,36.8886,4.1198,56.1,88,58,6.93,DZ,1679254680
563,lata,40.1629,-8.3327,55.81,89,99,0.89,PT,1679254681
564,gejiu,23.306,103.1635,52.3,89,99,3.47,CN,1679254682
565,vila do maio,15.1333,-23.2167,79.59,82,0,16.31,CV,1679254683
